status,phoneName,phoneBrand,processorName,processorBrand,processorSeries,antutuScore,category,plottedPrice,plottedPriceType,source,id
"missing_price","iQOO 12","iQOO","Snapdragon 8 Gen 3","Snapdragon","flagship","1557980","android_ai_phone","","","","iqoo-12-iqoo-snapdragon-8-gen-3-android-ai-phone"
"missing_price","Mi 14T","Xiaomi","Dimensity 8300","MediaTek","premium","1552982","android","","","","mi-14t-xiaomi-dimensity-8300-android"
"missing_price","Lenovo Idea Tab Pro","Lenovo","Dimensity 8300","MediaTek","premium","1548187","android_lite","","","","lenovo-idea-tab-pro-lenovo-dimensity-8300-android-lite"
"missing_price","HONOR Pad V9","HONOR","Dimensity 8350","MediaTek","premium","1533113","android_lite","","","","honor-pad-v9-honor-dimensity-8350-android-lite"
"missing_price","Lenovo Xiaoxin Pad Pro 12.7","Lenovo","Dimensity 8300","MediaTek","premium","1525810","android_lite","","","","lenovo-xiaoxin-pad-pro-12-7-lenovo-dimensity-8300-android-lite"
"missing_price","Poco X6 Pro 5G","POCO","Dimensity 8300","MediaTek","premium","1520623","android","","","","poco-x6-pro-5g-poco-dimensity-8300-android"
"missing_price","Generic MediaTek Dimensity9400e","Generic","Dimensity 9400e","MediaTek","flagship","1499832","harvested","","","","generic-mediatek-dimensity9400e-generic-dimensity-9400e-harvested"
"missing_price","REDMI K80","Xiaomi","Snapdragon 8 Gen 3","Snapdragon","flagship","1472202","android_ai_phone","","","","redmi-k80-xiaomi-snapdragon-8-gen-3-android-ai-phone"
"missing_price","Legion Y700 2023","Legion","Snapdragon 8+ Gen 1","Snapdragon","flagship","1467117","android_lite","","","","legion-y700-2023-legion-snapdragon-8-plus-gen-1-android-lite"
"missing_price","Mi 14 Pro","Xiaomi","Snapdragon 8 Gen 3","Snapdragon","flagship","1466947","android_ai_phone","","","","mi-14-pro-xiaomi-snapdragon-8-gen-3-android-ai-phone"
"missing_price","iPhone 15 Pro","Apple","A17 Pro","Other","other","1455385","ios","","","","iphone-15-pro-apple-a17-pro-ios"
"missing_price","Generic Samsung Exynos 2500","Generic","Exynos 2500","Exynos","flagship","1437726","harvested","","","","generic-samsung-exynos-2500-generic-exynos-2500-harvested"
